genre,average_male,average_female,average_10s,average_20s,average_30s,average_40s,average_50_up
drama,8.48,8.53,8.86,8.53,8.41,8.49,8.5
comedy,8.73,8.7,9,8.8,8.64,8.59,8.57
action,8.39,8.53,8.77,8.51,8.37,8.41,8.42
thriller,8.41,8.43,8.74,8.46,8.34,8.34,8.38
romance,8.61,8.46,8.96,8.59,8.38,8.4,8.39
crime,8.46,8.56,8.82,8.54,8.43,8.48,8.47
adventure,8.48,8.59,8.93,8.63,8.43,8.39,8.48
animation,8.83,8.76,9.28,8.91,8.72,8.67,8.81
fantasy,8.6,8.61,9.05,8.66,8.54,8.53,8.41
family,8.73,8.74,9.1,8.84,8.68,8.65,8.8
sci_fi,8.21,8.35,8.72,8.34,8.18,8.11,8.22
mystery,8.2,8.26,8.53,8.26,8.14,8.14,8.23
horror,8.24,8.22,8.46,8.26,8.17,8.19,8.18
documentary,9.46,9.57,9.29,9.49,9.56,9.55,9.42
biography,8.71,8.84,8.94,8.78,8.74,8.77,8.84
history,8.39,8.55,8.68,8.47,8.42,8.5,8.54
music,8.33,8.35,8.17,8.34,8.36,8.54,8.26
short,8.96,8.95,9.3,9.04,8.87,8.66,8.61
sport,6.97,7.6,7.15,7.31,7.25,7.25,7.77
war,8.45,8.73,8.79,8.57,8.48,8.64,8.68
musical,8.63,8.72,8.84,8.79,8.66,8.69,8.58
western,7.97,7.92,7.94,8.05,7.79,7.88,8
